symbol,investing_slug,earnings_url,is_active,notes
RUBNS,,https://tr.investing.com/equities/rubenis-tekstil-sanayi-ticaret-as-earnings,true,verified_2026-05-13
RUZYE,,https://tr.investing.com/equities/altinyag-earnings,true,verified_2026-05-13_legacy_altinyag_alias
SAFKR,,https://tr.investing.com/equities/safkar-ege-sogutmacilik-earnings,true,verified_2026-05-13
SAMAT,,https://tr.investing.com/equities/saray-matbaacilik-earnings,true,verified_2026-05-13
SANFM,,https://tr.investing.com/equities/sanifoam-sunger-san-ve-tic-as-earnings,true,verified_2026-05-13
SARKY,,https://tr.investing.com/equities/sarkuysan-earnings,true,verified_2026-05-13
SASA,,https://tr.investing.com/equities/sasa-polyester-earnings,true,verified_2026-05-13
SAYAS,,https://tr.investing.com/equities/say-reklamcilik-yapi-dekorasyon-earnings,true,verified_2026-05-13
SEGMN,,https://tr.investing.com/equities/segmen-kardesler-gida-uretim-ve-earnings,true,verified_2026-05-13
SEKUR,,https://tr.investing.com/equities/sekuro-plastik-ambalaj-sanayi-as-earnings,true,verified_2026-05-13
SELVA,,https://tr.investing.com/equities/selva-gida-sanayi-as-earnings,true,verified_2026-05-13
SERNT,,https://tr.investing.com/equities/seranit-granit-seramik-sanayi-earnings,true,verified_2026-05-13
SEYKM,,https://tr.investing.com/equities/seyitler-kimya-sanayi-as-earnings,true,verified_2026-05-13
SILVR,,https://tr.investing.com/equities/silverline-endustri-earnings,true,verified_2026-05-13
SKTAS,,https://tr.investing.com/equities/soktas-earnings,true,verified_2026-05-13
SNICA,,https://tr.investing.com/equities/sanica-isi-sanayi-as-earnings,true,verified_2026-05-13
SOKE,,https://tr.investing.com/equities/soke-degirmencilik-sanayi-ve-earnings,true,verified_2026-05-13
SUNTK,,https://tr.investing.com/equities/sun-tekstil-sanayi-ve-ticaret-as-earnings,true,verified_2026-05-13
TARKM,,https://tr.investing.com/equities/tarkim-bitki-koruma-sanayi-ve-earnings,true,verified_2026-05-13
TATGD,,https://tr.investing.com/equities/tat-konserve-exch-earnings,true,verified_2026-05-13_legacy_tat_konserve_alias
TBORG,,https://tr.investing.com/equities/t.tuborg-earnings,true,verified_2026-05-13
TCKRC,,https://tr.investing.com/equities/kirac-galvaniz-telekominikasyon-earnings,true,verified_2026-05-13
TEZOL,,https://tr.investing.com/equities/europap-tezol-kagit-sanayi-earnings,true,verified_2026-05-13
TMPOL,,https://tr.investing.com/equities/temapol-polimer-earnings,true,verified_2026-05-13
TMSN,,https://tr.investing.com/equities/tumosan-motor-earnings,true,verified_2026-05-13
TOASO,,https://tr.investing.com/equities/tofas-oto.-fab.-earnings,true,verified_2026-05-13
TRALT,,https://tr.investing.com/equities/koza-altin-earnings,true,verified_2026-05-13_legacy_koza_altin_alias
TRENJ,,https://tr.investing.com/equities/ipek-dogal-enerji-earnings,true,verified_2026-05-13
TRILC,,https://tr.investing.com/equities/turk-ilac-ve-serum-sanayi-as-earnings,true,verified_2026-05-13
TRMET,,https://tr.investing.com/equities/koza-madencilik-earnings,true,verified_2026-05-13
TTRAK,,https://tr.investing.com/equities/turk-traktor-earnings,true,verified_2026-05-13
TUCLK,,https://tr.investing.com/equities/tugcelik-alum-a-earnings,true,verified_2026-05-13
TUKAS,,https://tr.investing.com/equities/tukas-earnings,true,verified_2026-05-13
TUPRS,,https://tr.investing.com/equities/tupras-earnings,true,verified_2026-05-13
ULKER,,https://tr.investing.com/equities/ulker-biskuvi-earnings,true,verified_2026-05-13
ULUSE,,https://tr.investing.com/equities/ulusoy-elektrik-imalat-taahhut-earnings,true,verified_2026-05-13
ULUUN,,https://tr.investing.com/equities/ulusoy-un-sanayi-ve-ticaret-as-earnings,true,verified_2026-05-13
USAK,,https://tr.investing.com/equities/usak-seramik-earnings,true,verified_2026-05-13
VANGD,,https://tr.investing.com/equities/vanet-gida-earnings,true,verified_2026-05-13
VESBE,,https://tr.investing.com/equities/vestel-beyaz-esya-earnings,true,verified_2026-05-13
VESTL,,https://tr.investing.com/equities/vestel-earnings,true,verified_2026-05-13
VKING,,https://tr.investing.com/equities/viking-kagit-earnings,true,verified_2026-05-13
VSNMD,,https://tr.investing.com/equities/visne-madencilik-uretim-earnings,true,verified_2026-05-13
YAPRK,,https://tr.investing.com/equities/yaprak-sut-ve-besi-cift.-earnings,true,verified_2026-05-13
YATAS,,https://tr.investing.com/equities/yatas-earnings,true,verified_2026-05-13
YIGIT,,https://tr.investing.com/equities/yigit-aku-malzemeleri-nakliyat-earnings,true,verified_2026-05-13
YKSLN,,https://tr.investing.com/equities/yukselen-celik-earnings,true,verified_2026-05-13
YUNSA,,https://tr.investing.com/equities/yunsa-earnings,true,verified_2026-05-13
YYLGD,,https://tr.investing.com/equities/yayla-agro-gida-sanayi-ve-ticaret-earnings,true,verified_2026-05-13
